,biomass chp,chp1,chp2,chp3,chp4,chp5,chp6,est,imported el,pp1,pp2,pp3,pp4,pv1,won1,demand el,est,excess el,p2h
2019-01-01 00:00:00,-48.22483809523809,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-1.0,-0.0,-784.0,-152.45955,-0.0,-0.0,-0.0,-104.64961,1090.3339999999998,0.0,0.0,0.0
2019-01-01 01:00:00,-48.4,-0.0,-0.0,-0.0,-6.1389875,-0.0,-0.0,-0.0,-0.0,-784.0,-120.97146,-0.0,-0.0,-0.0,-111.16856,1070.679,0.0,0.0,0.0
2019-01-01 02:00:00,-48.4,-0.0,-0.0,-0.0,-0.0,-8.2131625,-0.0,-0.0,-0.0,-61.209535,-784.0,-0.0,-0.0,-0.0,-118.9633,1020.786,0.0,0.0,0.0
2019-01-01 03:00:00,-48.4,-0.0,-0.0,-0.0,-0.0,-18.39964375,-0.0,-0.0,-0.0,-14.693526,-784.0,-0.0,-0.0,-0.0,-120.27883,985.772,0.0,0.0,0.0
2019-01-01 04:00:00,-48.4,-0.0,-0.0,-0.0,-0.0,-54.595831249999996,-0.0,-0.0,-0.0,-0.0,-751.40238,-0.0,-0.0,-0.0,-121.92579,976.324,0.0,0.0,0.0
2019-01-01 05:00:00,-48.4,-0.0,-0.0,-143.50825625,-0.0,-0.0,-0.0,-0.0,-0.0,-660.40095,-0.0,-0.0,-0.0,-0.0,-122.18779,974.4970000000001,0.0,0.0,0.0
2019-01-01 06:00:00,-48.4,-0.0,-0.0,-167.73616875,-0.0,-0.0,-0.0,-0.0,-0.0,-664.33032,-0.0,-0.0,-0.0,-0.0,-122.34151,1002.808,0.0,0.0,0.0
2019-01-01 07:00:00,-48.4,-0.0,-0.0,-157.86448124999998,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-717.23648,-0.0,-0.0,-0.0,-122.29804,1045.799,0.0,0.0,0.0
2019-01-01 08:00:00,-48.4,-0.0,-0.0,-147.33671875,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-756.0329,-0.0,-0.0,-0.0,-122.22038,1073.99,0.0,0.0,0.0
2019-01-01 09:00:00,-48.4,-0.0,-0.0,-139.9334625,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-769.83015,-0.0,-0.0,-0.3324852,-122.1159,1080.612,0.0,0.0,0.0
2019-01-01 10:00:00,-48.4,-0.0,-0.0,-0.0,-130.02917499999998,-0.0,-0.0,-0.0,-0.0,-784.0,-15.691057,-0.0,-0.0,-1.8669109,-121.56686,1101.554,0.0,0.0,0.0
2019-01-01 11:00:00,-48.4,-0.0,-0.0,-0.0,-121.27607499999999,-0.0,-0.0,-0.0,-0.0,-77.394878,-784.0,-0.0,-0.0,-4.6760473,-122.44,1158.187,0.0,0.0,0.0
2019-01-01 12:00:00,-48.4,-0.0,-0.0,-0.0,-0.0,-117.95800624999998,-0.0,-0.0,-0.0,-784.0,-124.43373,-0.0,-0.0,-6.3877453,-122.38152,1203.561,0.0,0.0,0.0
2019-01-01 13:00:00,-48.4,-0.0,-0.0,-0.0,-0.0,-115.20126874999998,-0.0,-0.0,-0.0,-784.0,-165.14882,-0.0,-0.0,-5.7369119,-122.44,1240.927,0.0,0.0,0.0
2019-01-01 14:00:00,-48.4,-0.0,-0.0,-0.0,-0.0,-117.67784999999998,-0.0,-0.0,-0.0,-174.25174,-784.0,-0.0,-0.0,-4.6274101,-122.44,1251.397,0.0,0.0,0.0
2019-01-01 15:00:00,-48.4,-0.0,-0.0,-0.0,-119.49835624999999,-0.0,-0.0,-0.0,-0.0,-198.80864,-784.0,-0.0,-0.0,-0.0,-122.44,1273.147,0.0,0.0,0.0
2019-01-01 16:00:00,-48.4,-0.0,-0.0,-0.0,-130.49474375,-0.0,-0.0,-0.0,-0.0,-784.0,-216.07526,-0.0,-0.0,-0.0,-122.44,1301.41,0.0,0.0,0.0
2019-01-01 17:00:00,-48.4,-0.0,-0.0,-141.11826875,-0.0,-0.0,-0.0,-0.0,-0.0,-262.49373,-784.0,-0.0,-0.0,-0.0,-122.44,1358.4520000000002,0.0,0.0,0.0
2019-01-01 18:00:00,-48.4,-0.0,-0.0,-145.83711874999997,-0.0,-0.0,-0.0,-0.0,-0.0,-784.0,-288.95488,-0.0,-0.0,-0.0,-122.44,1389.632,0.0,0.0,0.0
2019-01-01 19:00:00,-48.4,-0.0,-0.0,-145.99909999999997,-0.0,-0.0,-0.0,-0.0,-0.0,-250.0309,-784.0,-0.0,-0.0,-0.0,-122.44,1350.87,0.0,0.0,0.0
2019-01-01 20:00:00,-48.4,-0.0,-0.0,-140.12804375,-0.0,-0.0,-0.0,-0.0,-0.0,-205.20096,-784.0,-0.0,-0.0,-0.0,-122.44,1300.169,0.0,0.0,0.0
2019-01-01 21:00:00,-48.4,-0.0,-0.0,-0.0,-115.1921,-0.0,-0.0,-0.0,-0.0,-784.0,-191.34694,-0.0,-0.0,-0.0,-122.41696,1261.356,0.0,0.0,0.0
2019-01-01 22:00:00,-48.4,-0.0,-0.0,-0.0,-0.0,-69.71408124999999,-0.0,-0.0,-0.0,-206.85287,-784.0,-0.0,-0.0,-0.0,-119.78805,1228.755,0.0,0.0,0.0
2019-01-01 23:00:00,-48.4,-0.0,-0.0,-0.0,-0.0,-19.7719,-0.0,-0.0,-0.0,-784.0,-194.54989,-0.0,-0.0,-0.0,-117.67221,1164.394,0.0,0.0,0.0
